Strike Rate,Category
0,Poor
1,Poor
2,Poor
3,Poor
4,Poor
5,Poor
6,Poor
7,Poor
8,Poor
9,Poor
10,Poor
11,Poor
12,Poor
13,Poor
14,Poor
15,Poor
16,Poor
17,Poor
18,Poor
19,Poor
20,Poor
21,Poor
22,Poor
23,Poor
24,Poor
25,Poor
26,Poor
27,Poor
28,Poor
29,Poor
30,Poor
31,Poor
32,Poor
33,Poor
34,Poor
35,Poor
36,Poor
37,Poor
38,Poor
39,Poor
40,Poor
41,Poor
42,Poor
43,Poor
44,Poor
45,Poor
46,Poor
47,Poor
48,Poor
49,Poor
50,Average
51,Average
52,Average
53,Average
54,Average
55,Average
56,Average
57,Average
58,Average
59,Average
60,Average
61,Average
62,Average
63,Average
64,Average
65,Average
66,Average
67,Average
68,Average
69,Average
70,Average
71,Average
72,Average
73,Average
74,Average
75,Average
76,Average
77,Average
78,Average
79,Average
80,Average
81,Average
82,Average
83,Average
84,Average
85,Average
86,Average
87,Average
88,Average
89,Average
90,Average
91,Average
92,Average
93,Average
94,Average
95,Average
96,Average
97,Average
98,Average
99,Average
100,Good
101,Good
102,Good
103,Good
104,Good
105,Good
106,Good
107,Good
108,Good
109,Good
110,Good
111,Good
112,Good
113,Good
114,Good
115,Good
116,Good
117,Good
118,Good
119,Good
120,Good
121,Good
122,Good
123,Good
124,Good
125,Good
126,Good
127,Good
128,Good
129,Good
130,Good
131,Good
132,Good
133,Good
134,Good
135,Good
136,Good
137,Good
138,Good
139,Good
140,Good
141,Good
142,Good
143,Good
144,Good
145,Good
146,Good
147,Good
148,Good
149,Good
150,Excellent
151,Excellent
152,Excellent
153,Excellent
154,Excellent
155,Excellent
156,Excellent
157,Excellent
158,Excellent
159,Excellent
160,Excellent
161,Excellent
162,Excellent
163,Excellent
164,Excellent
165,Excellent
166,Excellent
167,Excellent
168,Excellent
169,Excellent
170,Excellent
171,Excellent
172,Excellent
173,Excellent
174,Excellent
175,Excellent
176,Excellent
177,Excellent
178,Excellent
179,Excellent
180,Excellent
181,Excellent
182,Excellent
183,Excellent
184,Excellent
185,Excellent
186,Excellent
187,Excellent
188,Excellent
189,Excellent
190,Excellent
191,Excellent
192,Excellent
193,Excellent
194,Excellent
195,Excellent
196,Excellent
197,Excellent
198,Excellent
199,Excellent
200,Excellent
